"ID","alloy","cutTemp","rollTemp","firstPassRollPressure","secondPassRollPressure","topEdgeMicroChipping","blockSource","machineRestart","contourDefNdx","clearPassNdx","y_passXtremeDurability"
101523,"6063","med","med",525,375,"no","L27","no",5,1.94330338322257,0
101524,"2224","med","low",600,400,"no","Argon-Industries","no",5,1.9022236410589,0
101525,"2024-T3","med","med",575,350,"no","Argon-Industries","no",2,1.92957510887004,1
101526,"2324","high","med",550,425,"no","L27","no",2,2.01621893644604,1
101527,"7055","med","low",500,450,"yes","L27","no",5,1.81539136117392,1
101528,"7075-T6","high","low",500,400,"yes","Argon-Industries","no",1,2.00820717476082,1
101529,"2324","med","med",525,500,"no","L27","yes",2,1.99182651892099,1
101530,"7075-T6","med","low",550,425,"yes","MasterAlloys","no",4,2.12219419242718,0
101531,"5052","high","low",400,300,"no","Argon-Industries","no",5,2.04378429767218,0
101532,"7068","med","low",575,450,"no","Argon-Industries","no",2,2.16554171949009,1
101533,"7075-T6","high","low",550,300,"uncertain","L27","no",2,1.81667364608274,1
101534,"2224","high","low",550,300,"no","MasterAlloys","no",2,1.66840138497565,1
101535,"2324","low","med",400,500,"uncertain","Argon-Industries","no",5,2.03476189681895,0
101536,"6061","med","low",500,375,"no","Argon-Industries","yes",5,1.88077785648457,0
101537,"6061","high","low",500,400,"no","L27","no",5,1.80994522909927,0
101538,"2024-X","med","high",500,300,"yes","L27","no",5,1.97596532221829,0
101539,"6061","high","med",400,400,"yes","Argon-Industries","no",2,2.05044018083866,0
101540,"5052","high","low",575,475,"no","L27","no",5,1.89770135977187,0
101541,"7068","low","low",550,300,"yes","L27","no",5,1.7875501252615,0
101542,"7075-T6","med","low",475,475,"no","Argon-Industries","no",2,2.03504137501938,0
101543,"7075-T6","med","low",575,475,"yes","Argon-Industries","no",5,1.95746773236037,0
101544,"7055","low","low",500,400,"no","L27","no",2,1.775930552972,1
101545,"7475","high","low",425,475,"no","Argon-Industries","no",4,1.67828113366719,0
101546,"2224","low","high",425,450,"no","L27","no",2,1.96191983157088,1
101547,"6063","med","low",550,475,"no","Argon-Industries","no",5,1.99989314136286,0
101548,"2024-T3","low","low",450,300,"no","Argon-Industries","no",5,1.98501157230935,0
101549,"2024-X","high","low",400,475,"no","Argon-Industries","no",2,2.09599531521866,0
101550,"7475","high","med",550,450,"no","MasterAlloys","no",2,1.75651112169073,1
101551,"6061","low","med",450,425,"no","Argon-Industries","no",2,1.86952116668324,1
101552,"7055","low","low",400,350,"yes","Argon-Industries","no",5,1.7372980203172,0
101553,"6061","med","high",575,350,"no","L27","no",5,1.94920797786121,1
101554,"6061","med","low",525,475,"uncertain","L27","no",2,1.99708772532707,1
101555,"2224","high","high",500,475,"no","Argon-Industries","no",2,1.84956094225302,1
101556,"7475","high","low",600,450,"yes","L27","no",2,1.56104724801029,0
101557,"7068","low","high",475,475,"no","L27","no",5,1.81884260582063,1
101558,"2324","med","low",550,300,"no","Argon-Industries","no",4,1.9376163611458,0
101559,"7055","high","low",550,425,"no","L27","no",2,1.839739023797,1
101560,"6061","low","low",600,350,"uncertain","MasterAlloys","no",5,1.97812630247647,0
101561,"5052","high","low",475,425,"no","L27","no",1,1.94587104890599,0
101562,"7075-T6","med","low",500,375,"no","Argon-Industries","no",2,1.93455485103066,1
101563,"2024-X","high","med",450,375,"no","Argon-Industries","no",5,1.91375003789593,0
101564,"7068","high","high",450,400,"no","MasterAlloys","no",3,1.88755369254344,0
101565,"2224","high","high",400,350,"no","Argon-Industries","no",2,1.74557494099664,0
101566,"6063","high","med",600,400,"no","Argon-Industries","no",5,1.76693035148461,1
101567,"2324","high","low",525,450,"no","Argon-Industries","no",2,2.068175429324,1
101568,"6061","low","low",400,500,"no","MasterAlloys","no",2,1.87716383060189,0
101569,"7068","med","med",450,475,"no","Argon-Industries","no",5,1.94911249521972,0
101570,"2324","med","low",575,450,"no","Argon-Industries","no",4,1.76938582362831,1
101571,"2224","high","high",550,425,"uncertain","L27","no",5,2.21795076075497,1
101572,"2324","high","med",500,500,"no","L27","no",2,1.9581461734969,1
101573,"2024-X","high","low",400,325,"no","L27","no",2,1.76860274116987,1
101574,"5052","high","med",425,475,"no","Argon-Industries","no",5,1.88728058590535,0
101575,"2324","med","high",525,475,"no","L27","no",2,2.08954402466491,1
101576,"7055","med","low",600,325,"no","L27","no",2,1.83181064090002,1
101577,"7075-T6","high","med",425,425,"yes","Argon-Industries","no",1,1.98489819781261,0
101578,"7055","high","high",600,450,"no","L27","no",2,1.94571745488987,0
101579,"5052","med","high",475,300,"no","Argon-Industries","no",2,1.99244308239346,0
101580,"6063","med","low",475,400,"no","Argon-Industries","no",5,2.10866662264499,0
101581,"6061","med","low",425,450,"no","Argon-Industries","no",1,1.96175685941763,0
101582,"7068","low","med",500,325,"no","L27","yes",2,2.00881894452662,1
101583,"6061","high","high",425,425,"no","Argon-Industries","no",1,1.76316613422023,1
101584,"2324","high","med",575,400,"no","Argon-Industries","no",2,1.92742252963127,1
101585,"7068","high","low",575,350,"no","L27","no",2,2.21966603418769,1
101586,"7075-T6","high","high",400,375,"no","L27","no",5,1.74369166421715,0
101587,"6063","high","med",525,450,"no","Argon-Industries","no",2,2.18808692801771,1
101588,"7475","high","low",500,500,"no","MasterAlloys","no",1,1.80793418796842,0
101589,"6061","med","low",550,375,"no","L27","no",2,1.7855637664654,1
101590,"6063","high","low",600,475,"uncertain","MasterAlloys","no",2,1.69595218147867,1
101591,"7068","high","high",525,425,"yes","L27","no",5,1.8695381717199,0
101592,"7075-T6","med","low",475,500,"yes","Argon-Industries","no",5,1.81342359024702,0
101593,"2324","med","low",500,450,"yes","MasterAlloys","no",2,1.98287422107561,1
101594,"7055","high","low",475,300,"uncertain","Argon-Industries","no",3,1.95239661070581,0
101595,"7075-T6","high","med",450,325,"no","MasterAlloys","yes",2,1.92487211750224,0
101596,"7475","high","med",400,350,"no","Argon-Industries","no",2,2.04493436045887,0
101597,"7068","high","low",575,475,"no","L27","no",4,2.16317919075206,1
101598,"5052","high","low",425,325,"yes","Argon-Industries","no",5,2.09518671956378,0
101599,"5052","high","low",500,500,"no","L27","no",5,2.16477372636551,0
101600,"7075-T6","high","low",575,300,"uncertain","Argon-Industries","no",5,2.00311927820337,0
101601,"6061","high","med",600,325,"uncertain","Argon-Industries","no",5,2.01391334146024,0
101602,"7075-T6","high","med",525,350,"no","Argon-Industries","no",2,1.81569464301459,1
101603,"7075-T6","med","low",550,400,"no","MasterAlloys","no",2,1.98843322587343,1
101604,"5052","med","high",475,325,"no","MasterAlloys","no",4,1.70220781289277,0
101605,"7068","med","high",550,475,"uncertain","Argon-Industries","no",2,1.77488183175986,1
101606,"2224","low","low",600,400,"yes","L27","no",2,1.96047652707327,1
101607,"2024-X","high","low",550,475,"yes","Argon-Industries","no",3,2.13767055837792,0
101608,"7055","high","med",475,450,"no","Argon-Industries","no",5,1.96668112380555,0
101609,"2024-X","high","low",525,350,"no","Argon-Industries","no",2,1.97128162584908,1
101610,"7055","high","low",500,300,"uncertain","MasterAlloys","no",2,2.02233717676967,1
101611,"6063","med","low",600,300,"uncertain","Argon-Industries","no",2,1.97086186892935,0
101612,"2024-T3","high","low",450,475,"no","Argon-Industries","no",2,2.172144426274,0
101613,"7055","med","low",475,375,"uncertain","L27","yes",5,2.15774811264633,0
101614,"6061","med","low",600,300,"no","MasterAlloys","no",2,1.7549933121128,1
101615,"7475","low","low",500,350,"no","MasterAlloys","no",2,2.15486209049636,1
101616,"7055","low","med",525,325,"no","Argon-Industries","no",5,1.87064782117528,0
101617,"7055","low","med",475,400,"no","L27","no",5,1.99657052717952,1
101618,"2224","low","low",500,300,"no","MasterAlloys","no",2,1.72866689410269,0
101619,"7068","low","high",400,375,"no","MasterAlloys","no",5,1.91510883329326,0
101620,"7075-T6","low","med",550,425,"no","L27","no",4,1.92343709705713,1
101621,"5052","high","low",525,400,"no","L27","no",2,1.88104399135577,1
101622,"2024-T3","high","med",500,300,"yes","L27","no",5,2.1843717644975,1
101623,"6063","high","low",575,425,"no","L27","no",2,2.10644949286692,1
101624,"7068","high","low",475,475,"uncertain","Argon-Industries","no",5,1.75904618951378,0
101625,"7075-T6","med","high",550,425,"no","MasterAlloys","no",2,1.99134307932648,1
101626,"6063","high","high",550,300,"no","Argon-Industries","no",5,2.07889793479063,0
101627,"7068","med","low",550,325,"uncertain","L27","no",2,1.90595339427675,1
101628,"2224","low","med",525,350,"yes","L27","no",2,1.89219468689151,1
101629,"6063","high","low",575,425,"yes","Argon-Industries","no",1,1.74578195067801,0
101630,"7068","med","low",550,500,"no","L27","no",4,1.97784294671592,1
101631,"7055","high","low",425,375,"no","Argon-Industries","no",5,1.73614028219678,0
101632,"2024-X","high","low",500,350,"no","L27","no",2,2.03113512360124,1
101633,"7475","med","low",575,325,"no","Argon-Industries","no",2,2.0904461859222,1
101634,"7055","med","low",525,500,"no","L27","no",5,1.72789549321881,1
101635,"6063","high","low",425,375,"no","Argon-Industries","no",2,1.87951502421727,0
101636,"2324","high","high",425,500,"no","Argon-Industries","no",5,2.02090886943664,0
101637,"6063","med","low",600,500,"no","L27","no",5,1.96623415422502,0
101638,"7075-T6","high","med",400,425,"yes","Argon-Industries","no",2,1.5970496046359,0
101639,"7068","high","high",550,375,"no","L27","no",2,1.8718962208104,1
101640,"6061","low","low",600,350,"no","Argon-Industries","no",5,1.69908797472605,0
101641,"7075-T6","low","med",400,425,"no","L27","no",2,1.95309981660841,1
101642,"2224","med","low",450,400,"uncertain","Argon-Industries","no",2,1.98917262561935,0
101643,"7075-T6","med","high",425,300,"uncertain","Argon-Industries","yes",5,2.06155869538031,0
101644,"6061","high","high",425,375,"no","MasterAlloys","no",5,1.99369712877326,0
101645,"7055","med","med",400,450,"no","MasterAlloys","no",2,1.95041075021564,0
101646,"7475","low","med",525,400,"no","Argon-Industries","no",2,2.05627994171122,0
101647,"5052","low","low",550,400,"no","MasterAlloys","no",2,1.91676695205485,1
101648,"5052","low","low",400,325,"no","MasterAlloys","no",2,1.86835698501287,1
101649,"7055","high","med",575,450,"no","L27","no",2,2.09808116127554,1
101650,"7075-T6","low","med",575,375,"yes","L27","no",2,1.58462615329733,0
101651,"2324","high","med",450,325,"no","Argon-Industries","no",2,1.77963936532916,0
101652,"2324","low","low",575,325,"no","L27","no",2,1.78659073702694,1
101653,"6063","med","low",450,500,"no","MasterAlloys","no",2,2.2016498838515,0
101654,"7475","low","high",475,300,"no","MasterAlloys","yes",1,2.03922250989403,1
101655,"7075-T6","med","low",500,500,"uncertain","Argon-Industries","no",2,2.17489312693574,1
101656,"7075-T6","high","low",550,425,"no","L27","no",1,1.98120048035992,1
101657,"6061","low","med",425,500,"no","MasterAlloys","no",5,2.01071314787283,0
101658,"2224","high","high",400,500,"yes","Argon-Industries","no",2,1.80234946981076,0
101659,"2324","med","med",575,375,"no","Argon-Industries","no",2,2.05188677011496,1
101660,"7068","high","low",600,450,"no","MasterAlloys","no",2,2.05325488385708,1
101661,"7068","high","med",500,450,"no","Argon-Industries","no",4,2.07076255652656,1
101662,"6061","high","med",475,475,"no","L27","no",5,2.02167524519916,1
101663,"7475","high","low",450,375,"no","MasterAlloys","no",4,1.93159306297945,0
101664,"6063","high","low",400,475,"no","Argon-Industries","no",4,1.74806906717366,0
101665,"7055","med","med",550,300,"no","L27","no",2,2.19921091849007,0
101666,"2224","med","med",500,400,"no","L27","no",5,1.94484683568444,0
101667,"7068","low","low",450,450,"no","L27","no",1,1.81996361970648,1
101668,"7055","high","low",550,425,"no","MasterAlloys","no",5,1.96416197133328,1
101669,"6061","high","high",400,475,"no","L27","no",2,1.96343766691138,0
101670,"6061","high","low",525,325,"no","MasterAlloys","no",5,1.84994336384958,1
101671,"5052","low","low",500,375,"no","Argon-Industries","no",3,1.78719871810905,1
101672,"7068","high","low",500,450,"no","Argon-Industries","no",5,1.87532564565626,1
101673,"7068","high","high",550,325,"uncertain","MasterAlloys","no",2,1.98773218307828,1
101674,"6061","high","med",425,300,"uncertain","MasterAlloys","no",5,1.93879288541246,0
101675,"2024-X","high","low",475,425,"uncertain","Argon-Industries","no",5,1.92712099635597,1
101676,"7055","low","high",425,375,"no","Argon-Industries","no",2,2.10682462837346,0
101677,"7068","med","med",450,450,"no","MasterAlloys","no",2,2.00249455349688,1
101678,"7475","high","low",475,325,"no","Argon-Industries","no",4,2.09327970183266,0
101679,"5052","med","low",425,500,"no","MasterAlloys","no",2,1.97984012236525,1
101680,"7068","med","med",500,400,"no","L27","no",2,1.86100215842123,1
101681,"7068","med","high",525,350,"no","Argon-Industries","no",5,2.17997482135614,0
101682,"7055","high","low",400,375,"yes","L27","no",4,1.9241635956854,0
101683,"7475","low","med",600,400,"no","MasterAlloys","no",3,1.882975983027,0
101684,"7475","med","low",450,475,"no","MasterAlloys","no",2,1.92025307703858,0
101685,"6061","low","med",475,400,"no","Argon-Industries","no",4,1.86639896066617,0
101686,"2324","high","low",400,350,"no","L27","no",5,1.91143880181655,0
101687,"7068","med","med",575,325,"yes","Argon-Industries","no",4,1.97685161294848,0
101688,"2024-T3","high","low",550,400,"yes","L27","no",2,1.89588229276263,1
101689,"2324","med","med",450,425,"no","MasterAlloys","yes",2,2.0148492810355,0
101690,"6063","high","med",550,325,"no","MasterAlloys","no",5,2.0310517654724,1
101691,"6061","high","low",575,425,"uncertain","L27","no",5,1.95671007817682,0
101692,"2324","high","low",400,425,"no","Argon-Industries","no",3,2.16140980454738,0
101693,"7055","high","high",400,475,"no","L27","no",2,1.58858297750041,1
101694,"5052","high","low",600,450,"no","Argon-Industries","no",2,2.02372881083266,1
101695,"7068","high","high",500,375,"no","L27","no",2,1.76849581517583,1
101696,"7068","low","low",400,375,"no","L27","no",2,1.94911230052789,0
101697,"2224","med","med",425,450,"no","Argon-Industries","no",1,2.11194793532815,0
101698,"5052","high","low",400,425,"no","L27","no",5,2.04931070524488,0
101699,"7075-T6","low","low",475,475,"no","Argon-Industries","no",2,2.1258279810242,0
101700,"7475","high","low",400,350,"no","L27","no",2,2.0124646729058,1
101701,"7075-T6","high","med",500,325,"uncertain","Argon-Industries","yes",4,2.07010146743636,0
101702,"6061","high","med",600,350,"no","L27","no",2,1.93949350347886,1
101703,"6063","med","low",500,400,"no","Argon-Industries","no",5,1.81135528026789,0
101704,"7475","low","high",550,350,"no","Argon-Industries","no",2,2.11422396293284,0
101705,"5052","high","med",400,400,"no","Argon-Industries","no",5,1.75599739080062,0
101706,"5052","high","low",575,400,"no","MasterAlloys","no",2,1.78505902219156,1
101707,"6063","high","high",550,450,"no","L27","no",2,1.98077326878536,1
101708,"7055","high","high",450,500,"no","L27","yes",2,2.14519723805269,1
101709,"2224","low","med",600,325,"no","MasterAlloys","no",5,1.92416327088873,0
101710,"7475","high","low",525,500,"yes","MasterAlloys","no",5,1.9235353332741,0
101711,"6063","med","low",575,425,"no","L27","no",2,1.60299411085067,1
101712,"7068","med","low",600,400,"no","Argon-Industries","no",2,2.00463159781829,1
101713,"6061","med","low",450,350,"yes","Argon-Industries","no",5,1.96539706313067,0
101714,"7075-T6","med","med",600,375,"no","MasterAlloys","no",2,2.07971800604824,1
101715,"7068","low","med",500,300,"no","MasterAlloys","no",2,1.95668544695799,1
101716,"7075-T6","med","med",600,425,"no","MasterAlloys","no",2,1.95202992453207,1
101717,"2024-X","med","high",575,350,"no","Argon-Industries","no",5,1.72437576152418,0
101718,"5052","high","high",475,450,"no","Argon-Industries","no",5,2.08031169164972,0
101719,"5052","med","low",400,450,"no","Argon-Industries","no",2,1.76071804067747,0
101720,"7055","low","high",475,500,"yes","MasterAlloys","no",2,1.9467229748677,0
101721,"7068","high","low",550,450,"no","Argon-Industries","no",5,2.07027707657998,0
101722,"7475","high","low",475,325,"no","Argon-Industries","yes",4,1.74324015480474,1
101723,"6061","high","low",425,300,"yes","Argon-Industries","no",5,1.81024041423393,0
101724,"6061","med","med",500,350,"no","Argon-Industries","no",2,1.92159079624362,1
101725,"2024-X","high","low",550,500,"no","MasterAlloys","no",5,1.90992538382605,0
101726,"2024-X","low","low",600,325,"no","L27","no",2,1.82774962770238,1
101727,"6061","med","med",450,375,"no","Argon-Industries","no",2,1.90241692837923,0
101728,"2024-T3","high","high",525,400,"no","MasterAlloys","no",5,1.86053262809714,0
101729,"2324","low","low",400,425,"no","Argon-Industries","no",1,1.87981400202313,0
101730,"6061","high","low",450,475,"no","MasterAlloys","no",1,1.93194453784295,0
101731,"2024-X","high","low",600,375,"uncertain","L27","no",3,1.66279955470773,1
101732,"2324","med","low",475,450,"no","MasterAlloys","no",3,1.98273489062866,1
101733,"7068","high","low",475,425,"yes","Argon-Industries","no",5,2.17173366856613,0
101734,"5052","med","high",525,325,"no","Argon-Industries","no",2,2.04988529822007,1
101735,"2224","med","low",550,325,"no","Argon-Industries","no",5,1.84169524184252,1
101736,"6061","med","low",550,450,"no","Argon-Industries","no",5,1.84174171836117,0
101737,"5052","med","low",500,425,"no","Argon-Industries","no",2,1.95845279676236,1
101738,"7075-T6","med","med",400,400,"no","Argon-Industries","no",5,2.17140911382221,0
101739,"7055","high","high",400,350,"yes","Argon-Industries","no",5,1.97723854017028,0
101740,"7075-T6","high","low",575,325,"no","L27","no",2,2.09650636861644,1
101741,"6061","high","med",550,350,"no","Argon-Industries","no",2,1.81708557941972,1
101742,"2224","low","med",575,325,"no","L27","no",4,1.97852860554463,1
101743,"7068","med","low",525,475,"no","L27","no",2,1.92941063117641,0
101744,"7055","med","high",550,500,"uncertain","Argon-Industries","no",5,2.1319935192483,0
101745,"7075-T6","med","high",600,300,"no","Argon-Industries","no",5,1.92955130082436,0
101746,"6061","med","low",450,450,"no","Argon-Industries","no",3,1.73138446323927,0
101747,"7475","low","low",425,300,"uncertain","Argon-Industries","no",2,2.16691581426281,0
101748,"7075-T6","low","low",500,450,"no","L27","no",2,1.62139687743964,1
101749,"7475","med","low",475,325,"no","L27","no",5,1.65634473319968,1
101750,"2024-T3","low","med",450,500,"uncertain","L27","no",5,1.80517377332393,1
101751,"6061","high","high",400,325,"no","L27","no",5,1.74744147463198,0
101752,"7068","med","low",500,300,"no","Argon-Industries","no",5,1.92175024415901,0
101753,"2324","low","low",600,325,"no","Argon-Industries","no",3,2.08209231480289,1
101754,"7068","med","low",550,475,"no","Argon-Industries","no",2,2.29579598959218,1
101755,"2324","high","high",600,450,"no","L27","yes",2,1.94002998734002,1
101756,"7075-T6","med","high",500,375,"uncertain","L27","no",5,2.07561588545145,0
101757,"7075-T6","high","med",425,325,"uncertain","L27","no",5,2.04097603289163,0
101758,"2224","low","low",600,300,"no","L27","no",2,1.97755041442897,1
101759,"6063","high","low",600,350,"no","Argon-Industries","no",1,2.05206628521687,1
101760,"2024-T3","high","high",525,425,"no","Argon-Industries","no",2,1.99722842062236,1
101761,"6061","high","med",475,400,"no","Argon-Industries","no",5,1.7918534005571,0
101762,"2224","high","low",500,450,"no","L27","no",2,1.92161197583227,1
101763,"2024-X","low","high",400,400,"no","Argon-Industries","no",2,1.70969882267199,0
101764,"7055","high","med",550,350,"yes","Argon-Industries","no",2,1.69255912466141,1
101765,"6063","med","low",525,425,"no","L27","no",2,1.81155686934848,1
101766,"7475","high","low",500,425,"yes","L27","no",2,2.18856140453554,1
101767,"2324","high","low",575,375,"no","L27","no",2,2.06759677459853,1
101768,"2024-T3","med","low",475,500,"no","MasterAlloys","no",4,1.91228969535552,0
101769,"5052","low","high",400,350,"no","L27","no",2,2.10476626305353,0
101770,"7475","high","low",550,475,"no","Argon-Industries","no",3,1.84754701823752,1
101771,"6063","low","low",500,400,"no","Argon-Industries","no",5,2.03607463599838,0
101772,"6063","med","low",600,425,"no","Argon-Industries","no",5,1.89384173168813,0
101773,"2324","low","high",575,375,"no","MasterAlloys","yes",2,2.02914170772038,1
101774,"2024-T3","high","low",425,475,"no","MasterAlloys","no",1,2.01584163351673,0
101775,"7475","low","high",600,325,"no","Argon-Industries","no",3,1.8985483522632,0
101776,"6061","high","low",450,350,"no","L27","no",2,2.05384272732801,1
101777,"2324","high","low",450,450,"no","L27","no",2,1.94712921519527,0
101778,"7055","high","high",500,375,"yes","Argon-Industries","no",2,2.21620182167095,1
101779,"5052","high","high",425,325,"yes","L27","no",2,2.06505880043389,0
101780,"7068","low","low",600,450,"no","MasterAlloys","no",2,2.1356894152232,1
101781,"7075-T6","med","low",500,325,"no","L27","no",1,1.86839587794122,1
101782,"7075-T6","high","low",550,450,"no","Argon-Industries","no",5,2.01228139927946,0
101783,"2024-X","low","med",400,375,"no","L27","no",2,2.01354070779305,0
101784,"2224","low","low",575,400,"no","MasterAlloys","no",2,1.91613475416431,1
101785,"6063","high","low",475,375,"no","Argon-Industries","no",2,1.76550044210725,1
101786,"7475","low","high",550,475,"no","MasterAlloys","no",2,1.91286767982912,1
101787,"7475","low","high",525,500,"no","MasterAlloys","no",2,1.9750726090737,1
101788,"6063","high","high",450,450,"no","MasterAlloys","no",2,1.89059608438843,1
101789,"6061","med","med",500,375,"no","MasterAlloys","no",2,2.00846510689069,1
101790,"2024-T3","low","med",475,400,"no","L27","no",2,2.12902664186937,1
101791,"7055","high","low",475,475,"no","L27","no",2,1.80765479083451,1
101792,"5052","high","low",550,475,"uncertain","Argon-Industries","yes",2,2.09618737586624,0
101793,"5052","high","low",500,325,"no","L27","no",2,1.92656295629995,1
101794,"6063","med","low",450,450,"no","MasterAlloys","no",2,2.18413553856977,0
101795,"6063","low","high",575,425,"no","L27","no",4,1.94748958825638,1
101796,"2024-T3","low","med",450,475,"no","L27","no",1,1.82066285375472,1
101797,"7055","med","low",575,325,"uncertain","MasterAlloys","no",2,1.99049666077312,1
101798,"5052","high","med",550,350,"yes","Argon-Industries","no",2,1.88853210087878,0
101799,"2224","high","high",550,300,"no","Argon-Industries","no",2,1.89439719413211,0
101800,"7055","low","low",425,350,"no","MasterAlloys","no",5,1.78239153678982,0
101801,"7055","med","med",550,325,"yes","MasterAlloys","no",1,2.04265340270516,1
101802,"7075-T6","low","low",525,300,"no","Argon-Industries","no",5,1.89398474552526,0
101803,"7075-T6","high","high",525,475,"yes","Argon-Industries","no",1,2.04759057630276,1
101804,"2224","med","low",500,375,"no","MasterAlloys","no",2,2.07068731725337,1
101805,"7475","med","low",450,400,"no","MasterAlloys","no",5,1.57435284538306,0
101806,"7075-T6","high","low",500,450,"no","L27","no",2,2.03107739300075,1
101807,"7055","high","med",575,350,"no","L27","no",5,1.57405626736297,1
101808,"6061","med","low",600,425,"no","Argon-Industries","no",2,2.02928873061682,1
101809,"2324","high","low",475,375,"yes","Argon-Industries","no",4,2.16660661106101,0
101810,"5052","med","high",475,450,"no","L27","no",2,1.99689589710081,1
101811,"6061","high","high",600,300,"uncertain","MasterAlloys","no",3,1.92461775702702,0
101812,"7055","high","high",550,375,"no","L27","yes",2,1.69113760901768,1
101813,"7068","high","low",425,475,"yes","Argon-Industries","no",3,2.14042875787413,0
101814,"6061","high","med",550,300,"no","Argon-Industries","no",4,1.78290708119226,0
101815,"2224","high","high",550,425,"no","Argon-Industries","no",2,2.03285421786487,1
101816,"6063","med","low",475,350,"no","MasterAlloys","no",2,2.04808060678572,1
101817,"7075-T6","high","low",450,425,"yes","Argon-Industries","no",5,1.94128723399142,0
101818,"2024-T3","high","low",450,350,"no","L27","no",4,1.98033241073151,1
101819,"7075-T6","high","low",525,425,"uncertain","Argon-Industries","no",4,1.95478683225236,0
101820,"7075-T6","low","high",600,400,"no","L27","no",2,1.74779310259664,1
101821,"2024-T3","low","high",550,325,"no","Argon-Industries","no",4,2.20113315539355,0
101822,"2224","high","med",425,350,"no","Argon-Industries","no",2,2.07781694493281,0
101823,"7055","low","med",450,325,"no","L27","no",2,1.90840810260943,1
101824,"6061","high","low",475,350,"no","L27","no",5,1.75401185976504,1
101825,"2224","low","med",525,325,"uncertain","Argon-Industries","no",4,1.9590473846855,0
101826,"6061","high","high",400,400,"no","Argon-Industries","no",5,1.55809002204548,0
101827,"7068","med","low",450,450,"no","MasterAlloys","yes",2,1.93880480246212,0
101828,"7475","high","low",450,425,"no","Argon-Industries","no",4,1.99821607741523,0
101829,"2024-X","high","low",450,350,"no","L27","no",4,2.20131159197051,1
101830,"7475","high","high",575,400,"no","Argon-Industries","no",4,1.69620091251746,1
101831,"2324","high","low",400,350,"no","MasterAlloys","no",5,1.98454683387443,0
101832,"6061","med","med",425,450,"yes","L27","yes",2,2.16703853700074,0
101833,"2024-T3","med","low",575,375,"no","L27","no",2,1.97581753485521,1
101834,"7068","high","high",425,450,"no","Argon-Industries","no",4,1.90269291434318,0
101835,"7075-T6","high","low",525,500,"no","Argon-Industries","no",2,1.94454302631881,0
101836,"6061","low","med",450,450,"no","Argon-Industries","no",2,1.90125777287633,0
101837,"6063","high","low",500,325,"no","L27","no",2,1.95147592254978,1
101838,"2224","med","low",550,475,"yes","L27","no",5,2.13319444385766,1
101839,"7475","low","high",425,500,"no","MasterAlloys","no",3,1.79731662196608,0
101840,"2024-T3","med","low",450,400,"no","MasterAlloys","no",2,1.9513586511306,0
101841,"2324","high","low",425,325,"no","MasterAlloys","no",2,1.87192052446826,0
101842,"2024-X","med","high",400,400,"no","Argon-Industries","no",5,2.09501737896334,0
101843,"7055","high","high",500,400,"no","Argon-Industries","no",2,2.0738962578052,0
101844,"2024-T3","high","med",400,400,"no","L27","no",4,1.92040948356214,1
101845,"7075-T6","low","low",525,400,"uncertain","L27","no",2,1.73713140475287,1
101846,"6063","high","med",550,325,"no","Argon-Industries","no",5,1.95590140299282,0
101847,"2324","low","low",500,325,"no","Argon-Industries","no",5,1.82498012576716,0
101848,"2224","med","low",525,325,"no","L27","no",5,1.8378164148044,1
101849,"7068","med","high",425,300,"no","Argon-Industries","no",2,2.12217488457566,0
101850,"7075-T6","med","low",500,325,"no","MasterAlloys","no",2,2.22385223895309,1
101851,"6063","med","low",425,350,"yes","Argon-Industries","no",5,1.68456011630696,0
101852,"2024-X","low","med",575,325,"no","L27","no",2,2.05142721953857,1
101853,"7475","high","med",575,375,"no","Argon-Industries","no",2,2.00067157643344,0
101854,"6063","high","low",425,475,"uncertain","L27","no",2,1.69602673954732,0
101855,"6063","low","low",400,400,"no","Argon-Industries","yes",5,1.98309688762849,0
101856,"7475","low","low",500,400,"no","MasterAlloys","no",3,2.0971365268103,0
101857,"6063","high","low",575,350,"no","MasterAlloys","no",1,1.64983872363287,1
101858,"2024-T3","high","low",575,400,"no","MasterAlloys","no",5,1.89799600730823,1
101859,"7475","high","high",525,375,"yes","Argon-Industries","no",2,1.87885171166117,0
101860,"6063","low","med",575,500,"no","L27","no",3,2.00940375505238,1
101861,"7055","high","med",450,450,"no","L27","no",2,1.94424532786477,1
101862,"7055","med","high",500,500,"no","L27","no",2,1.87623488217863,1
101863,"7075-T6","high","med",450,350,"no","L27","no",2,2.03433968277726,0
101864,"6061","low","low",600,300,"uncertain","Argon-Industries","no",4,1.96439358604901,0
101865,"7475","high","low",500,375,"no","Argon-Industries","no",5,1.85467997208198,0
101866,"2324","high","low",575,500,"uncertain","Argon-Industries","no",5,1.9928013624905,0
101867,"7075-T6","med","med",600,475,"yes","L27","no",5,2.01568573505501,0
101868,"6063","med","low",525,325,"no","Argon-Industries","no",2,2.17922756526022,1
101869,"7475","high","med",400,475,"uncertain","MasterAlloys","no",2,2.05928820735635,0
101870,"2224","med","med",500,475,"no","MasterAlloys","no",2,1.87221753155628,1
101871,"2324","high","low",600,375,"no","Argon-Industries","no",5,1.68448111926447,0
101872,"5052","low","low",600,300,"no","L27","no",2,1.9039167591404,0
101873,"6061","med","high",475,475,"no","Argon-Industries","no",5,1.94292501334426,0
101874,"7475","high","med",600,300,"no","Argon-Industries","no",2,1.93192249259062,1
